"","Day","Time","TrafficControl","Road","Light","Weather","Weight","Count"
"383","Weekday","Evening","Unknown","Dry","Dawn/Dusk","Rain/Snow",5,0
"384","Weekend","Evening","Unknown","Dry","Dawn/Dusk","Rain/Snow",2,0
"385","Weekday","Night","No Control","Wet","Dawn/Dusk","Rain/Snow",5,31
"386","Weekend","Night","No Control","Wet","Dawn/Dusk","Rain/Snow",2,17
"387","Weekday","Morning","No Control","Wet","Dawn/Dusk","Rain/Snow",5,41
"388","Weekend","Morning","No Control","Wet","Dawn/Dusk","Rain/Snow",2,18
"389","Weekday","Midday","No Control","Wet","Dawn/Dusk","Rain/Snow",5,14
"390","Weekend","Midday","No Control","Wet","Dawn/Dusk","Rain/Snow",2,6
"391","Weekday","Evening","No Control","Wet","Dawn/Dusk","Rain/Snow",5,140
"392","Weekend","Evening","No Control","Wet","Dawn/Dusk","Rain/Snow",2,35
"393","Weekday","Night","Control","Wet","Dawn/Dusk","Rain/Snow",5,44
"394","Weekend","Night","Control","Wet","Dawn/Dusk","Rain/Snow",2,12
"395","Weekday","Morning","Control","Wet","Dawn/Dusk","Rain/Snow",5,59
"396","Weekend","Morning","Control","Wet","Dawn/Dusk","Rain/Snow",2,11
